VARIABLES = X, Y, Z, VX, VY, VZ, PRESS, OBST
ZONE I= 128, J= 128, K= 128 F=POINT
19 4 32 0.015559 -0.000109 -0.011838 0.033469 0
20 4 32 0.015971 -0.000112 -0.012418 0.033467 0
21 4 32 0.016428 -0.000108 -0.012998 0.033466 0
22 4 32 0.016870 -0.000123 -0.013588 0.033468 0
23 4 32 0.017418 -0.000135 -0.014215 0.033464 0
24 4 32 0.018125 -0.000128 -0.014825 0.033459 0
25 4 32 0.018800 -0.000133 -0.015439 0.033462 0
26 4 32 0.019505 -0.000164 -0.016096 0.033461 0
27 4 32 0.020476 -0.000165 -0.016701 0.033450 0
28 4 32 0.021561 -0.000174 -0.017270 0.033449 0
29 4 32 0.022533 -0.000181 -0.017962 0.033452 0
30 4 32 0.023735 -0.000209 -0.018463 0.033438 0
31 4 32 0.025273 -0.000247 -0.018851 0.033424 0
32 4 32 0.026832 -0.000245 -0.019451 0.033428 0
33 4 32 0.028304 -0.000252 -0.019846 0.033415 0
34 4 32 0.030297 -0.000269 -0.019667 0.033389 0
35 4 32 0.032390 -0.000299 -0.019993 0.033382 0
36 4 32 0.034637 -0.000327 -0.019895 0.033369 0
37 4 32 0.036841 -0.000304 -0.019122 0.033341 0
38 4 32 0.039362 -0.000235 -0.018348 0.033315 0
39 4 32 0.042144 -0.000394 -0.017250 0.033293 0
40 4 32 0.044954 -0.000436 -0.015737 0.033269 0
41 4 32 0.047313 -0.000368 -0.013476 0.033239 0
42 4 32 0.049580 -0.000439 -0.010819 0.033208 0
43 4 32 0.051844 -0.000449 -0.007900 0.033179 0
44 4 32 0.053634 -0.000565 -0.004417 0.033153 0
45 4 32 0.054431 -0.000693 -0.001175 0.033139 0
46 4 32 0.055019 -0.000519 0.002945 0.033110 0
47 4 32 0.054764 -0.000479 0.006778 0.033086 0
48 4 32 0.054157 -0.000549 0.009770 0.033087 0
49 4 32 0.053141 -0.000422 0.013283 0.033071 0
50 4 32 0.051388 -0.000381 0.015931 0.033058 0
51 4 32 0.049434 -0.000455 0.018264 0.033060 0
52 4 32 0.047296 -0.000324 0.020188 0.033056 0
53 4 32 0.044942 -0.000348 0.021612 0.033052 0
54 4 32 0.042496 -0.000414 0.022559 0.033055 0
55 4 32 0.040120 -0.000376 0.023140 0.033059 0
56 4 32 0.037809 -0.000396 0.023375 0.033060 0
57 4 32 0.035604 -0.000438 0.023262 0.033064 0
58 4 32 0.033596 -0.000423 0.022910 0.033073 0
59 4 32 0.031722 -0.000423 0.022385 0.033078 0
60 4 32 0.030003 -0.000427 0.021696 0.033083 0
